url,headline
https://www.foxnews.com/sports/rams-make-surprise-first-round-move-take-alabama-qb-ty-simpson,"Rams make surprise first-round move, take Alabama QB Ty Simpson"
https://www.foxnews.com/sports/fever-star-sophie-cunningham-says-sports-media-needs-honesty,Fever star Sophie Cunningham says sports media needs 'more honesty'
https://www.foxnews.com/outkick-sports/wwe-star-seth-rollins-storms-nfl-network-set-kyle-brandt-razzing,WWE star Seth Rollins storms off NFL Network set after Kyle Brandt razzing
https://www.foxnews.com/outkick-sports/megan-rapinoe-calls-traditional-wnba-media-replaced-understand-queer-culture,Megan Rapinoe calls on traditional WNBA media to be replaced with those who ‘understand queer culture’
https://www.foxnews.com/sports/falcons-james-pearce-jr-granted-intervention-program-entry-could-avoid-trial-felony-charges,"Falcons' James Pearce Jr granted intervention program entry, could avoid trial on felony charges"
https://www.foxnews.com/sports/chris-mad-dog-russo-takes-issue-usa-chants-scottie-scheffler-faced-british-golfer-playoff,Chris 'Mad Dog' Russo takes issue with 'U-S-A' chants as Scottie Scheffler faced British golfer in playoff
https://www.foxnews.com/sports/italy-rules-replacing-iran-world-cup-qualification-done-pitch,Italy rules out replacing Iran in World Cup: 'Qualification is done on the pitch'
https://www.foxnews.com/outkick-sports/pga-tour-michael-brennan-shirtless-new-orleans-fails-miracle-shot-water,"PGA Tour player goes shirtless in New Orleans, fails at miracle shot from water"
https://www.foxnews.com/outkick-culture/happy-draft-day-chiefs-heiress-gracie-hunt-red-bikini,'Happy Draft Day' from Chiefs heiress Gracie Hunt and her red bikini
https://www.foxnews.com/sports/dodgers-shohei-ohtani-role-dave-roberts,"Shohei Ohtani Role Changing? 'Everything Should Be on Table,' Per Dave Roberts"
https://www.foxnews.com/sports/2026-nfl-draft-first-round-preview-team-needs-mock-picks-draft-selections,"2026 NFL Draft First-Round Primer: Team Needs, Mock Picks, Draft Selections"
https://www.foxnews.com/video/6393750287112,"Bears trade up for Kadyn Proctor, Cowboys trade up for Arvell Reese in Danny Parkins' Official Mock Draft | First Things First"
https://www.foxnews.com/video/6393748650112,"Nick Wright's Official Mock Draft: Arvell Reese to Jets, Chiefs take Rueben Bain Jr, Patriots select Cashius Howell, Avieon Terrell to Seahawks"
https://www.foxnews.com/video/6393734024112,Alexi Lalas’ Top 10 teams at 2026 FIFA World Cup™
https://www.foxnews.com/video/6393733531112,"Joel Klatt talks 2026 NFL Draft, Sonny Styles, Fernando Mendoza hype | FULL INTERVIEW | The Herd"
https://www.foxnews.com/video/6393728608112,"Colin’s Mock Draft 3.0: Cowboys take Sonny Styles, Who will the Jets pick? | The Herd"
https://www.foxnews.com/video/6393666122112,"Lakers are witness to history, Spurs have a long 48 hours, Nuggets-Wolves the next great rivalry? 👀 First Things First"
https://www.foxnews.com/video/6393665391112,"Bob Bradley on Mauricio Pochettino's team over single player mentality, Folarin Balogun, USMNT's FIFA World Cup Prep ⚽️ First Things First"
https://www.nbcnews.com/politics/white-house/trump-facing-increasingly-patient-iran-rcna341592,Trump is facing an increasingly patient Iran
https://www.nbcnews.com/business/business-news/soldier-charged-over-maduro-raid-bet-rcna341710,U.S. special forces soldier involved in Maduro raid charged with betting on the operation
https://www.nbcnews.com/trump-administration,Trump administration
https://www.nbcnews.com/politics/trump-administration/trump-says-renovate-reflecting-pool-national-mall-rcna341726,Trump says he'll renovate 'filthy'  reflecting pool on National Mall
https://www.nbcnews.com/politics/trump-administration/live-blog/trump-congress-budget-dhs-ice-cbp-california-governor-live-updates-rcna341547,Trump administration live updates: DOJ moves to ease restrictions on medical marijuana
https://www.nbcnews.com/politics/congress,Congress
https://www.nbcnews.com/politics/congress/katie-britt-john-fetterman-social-media-guardrails-children-teenagers-rcna341688,Sens. Katie Britt and John Fetterman warn against inaction on social media guardrails
https://www.nbcnews.com/video/justice-department-watchdog-investigates-compliance-with-epstein-act-262018629895,Justice Department watchdog investigates compliance with Epstein Act
https://www.nbcnews.com/nightly-news/video/trump-warns-u-s-will-shoot-and-kill-iranian-mine-boats-262013509954,Trump warns U.S. will ‘shoot and kill’ Iranian mine boats
https://www.nbcnews.com/video/1-on-1-with-the-uk-ambassador-to-u-s-ahead-of-the-king-s-visit-262012485576,"1-on-1 with the UK ambassador to U.S., Mandelson's replacement, ahead of the King's visit"
https://www.nbcnews.com/politics/2026-election,2026 Election
https://www.nbcnews.com/politics/2026-election/americas-revamped-election-maps-mean-midterms-balance-power-washington-rcna341260,What America's revamped election maps mean for the balance of power in Washington
https://www.nbcnews.com/news/asia,Asia
https://www.nbcnews.com/world/asia/trump-send-afghan-allies-us-congo-taliban-qatar-camp-refugees-rcna341352,Trump may send Afghan allies who were promised new lives in the U.S. to Congo instead
https://www.nbcnews.com/politics/doge,DOGE
https://www.nbcnews.com/politics/doge/year-doge-former-federal-employees-still-unemployed-looking-jobs-rcna265911,"A year after DOGE, former federal employees are still looking for work"
https://www.nbcnews.com/politics-newsletter-subscribe,From the Politics Desk
https://www.nbcnews.com/politics/justice-department,Justice Department
https://www.nbcnews.com/trump-special-counsel-investigation,Trump investigations
https://www.nbcnews.com/epstein-files,Epstein files
https://www.nbcnews.com/us-news,U.S. news
https://www.nbcnews.com/business/travel,Travel
https://www.nbcnews.com/politics/immigration,Immigration
https://www.nbcnews.com/news/us-news/multiple-people-wounded-mall-louisiana-shooting-suspects-still-large-rcna341681,"1 dead, 5 injured and several in custody in Mall of Louisiana shooting"
https://www.nbcnews.com/news/us-news/communication-issues-contributed-fatal-laguardia-crash-preliminary-rep-rcna341689,"Communication issues contributed to fatal LaGuardia crash, preliminary report shows"
https://www.nbcnews.com/video/texas-home-prices-drop-nearly-2-year-over-year-per-new-data-262018629885,Why are home prices across Texas dropping?
https://www.nbcnews.com/nightly-news/video/search-for-suspects-after-deadly-louisiana-mall-shooting-262019141620,Search for suspects after deadly Louisiana mall shooting
https://www.nbcnews.com/health,Health news
https://www.nbcnews.com/health/health-news/rectal-cancer-rates-deaths-rising-millennials-30s-40s-rcna341389,Rectal cancer deaths rising rapidly among millennials: 'It's a medical crisis'
https://www.nbcnews.com/news/us-news/fled-iran-search-freedom-ice-detained-rcna331845,They fled Iran in search of freedom. Then ICE detained them.
https://www.nbcnews.com/guns-in-america,Guns in America
https://www.nbcnews.com/news/us-news/shreveport-louisiana-domestic-violence-shooting-children-rcna340972,Shreveport faced a domestic violence 'epidemic' long before 8 children were killed
https://www.nbcnews.com/select/wellness/health,Health
https://www.nbcnews.com/select/shopping/can-honey-treat-seasonal-allergies-rcna341661,Can honey treat seasonal allergies?
https://www.nbcnews.com/select/wellness,Wellness
https://www.nbcnews.com/select/shopping/best-lumbar-support-pillows-rcna341469,"If you sit all day, these lumbar pillows may save your lower back"
https://www.nbcnews.com/select/deals-sales,Deals and Sales
https://www.nbcnews.com/select/shopping/dewalt-power-tool-combo-kit-deal-of-the-day-2026-rcna341642,Dewalt’s power tool combo kit is more than 40% off on Amazon
https://www.nbcnews.com/select/wellness/skin-care,Skin Care
https://www.nbcnews.com/select/shopping/best-australian-sunscreens-rcna341534,What sets Australian sunscreens apart? I asked derms
https://www.nbcnews.com/science/space,Space
https://www.nbcnews.com/nfl,NFL
https://www.nbcnews.com/world/iran/live-blog/live-updates-trump-iran-hormuz-blockade-ceasefire-talks-lebanon-israel-rcna341571,"Israel-Lebanon ceasefire extended by three weeks, Trump says"
https://www.nbcnews.com/world/the-vatican/pope-leo-vents-failure-end-iran-war-many-innocent-people-died-rcna341667,Pope Leo vents about failure to end Iran war: 'Many innocent people have died'
https://www.nbcnews.com/world/iran-war,Iran war
https://www.nbcnews.com/world/iran/live-blog/live-updates-trump-iran-hormuz-blockade-ceasefire-talks-lebanon-israel-rcna341571,Live updates: Trump orders U.S. military to 'shoot and kill' Iranian boats mining Strait of Hormuz
https://www.nbcnews.com/data-graphics/strait-of-hormuz-ports-traffic-trump-us-iran-war-rcna331507,Graphic: Tracking ship traffic through the Strait of Hormuz
https://www.nbcnews.com/middle-east-conflict,Middle East Conflict
https://www.nbcnews.com/world/lebanon/lebanon-tyre-dead-war-israel-strikes-ceasefire-rcna341447,"In the rubble of southern Lebanon, survivors mourn those killed in Israeli attacks"
https://www.nbcnews.com/video/lebanese-refugees-hope-to-return-home-as-ceasefire-with-israel-is-extended-262007877661,Lebanese refugees hope to return home as ceasefire with Israel is extended
https://www.nbcnews.com/video/special-forces-soldier-charged-with-making-bets-on-u-s-capture-of-maduro-262003781767,Special forces soldier charged with making bets on U.S. capture of Maduro
https://www.nbcnews.com/video/katz-says-israel-waiting-for-u-s-green-light-to-bomb-iran-back-to-stone-age-261997125725,Israel waiting for U.S. green light to return Iran to ‘dark and stone ages’
https://www.nbcnews.com/world/china/humanoid-robots-race-humans-beijing-half-marathon-showing-rapid-advanc-rcna340842,"Robot breaks the human half-marathon world record, a year after humanoid humiliation"
https://www.nbcnews.com/world/russia/putins-new-critics-celebrity-influencers-warning-russians-might-snap-rcna332146,Her 18-minute manifesto critiquing Putin went viral. Now others are speaking up.
https://www.nbcnews.com/tech/cyber-security,Security
